"Package Name",Version,Type,Vendor,License,Description
anourvalar/eloquent-serialize,1.3.4,library,anourvalar,MIT,"Laravel Query Builder (Eloquent) serialization"
asantibanez/livewire-calendar,2.3.0,library,asantibanez,MIT,"Laravel Livewire calendar component"
blade-ui-kit/blade-heroicons,2.6.0,library,blade-ui-kit,MIT,"A package to easily make use of Heroicons in your Laravel Blade views."
blade-ui-kit/blade-icons,1.8.0,library,blade-ui-kit,MIT,"A package to easily make use of icons in your Laravel Blade views."
brick/math,0.14.1,library,brick,MIT,"Arbitrary-precision arithmetic library"
carbonphp/carbon-doctrine-types,3.2.0,library,carbonphp,MIT,"Types to use Carbon in Doctrine"
chillerlan/php-qrcode,5.0.5,library,chillerlan,"MIT, Apache-2.0","A QR Code generator and reader with a user-friendly API. PHP 7.4+"
chillerlan/php-settings-container,3.2.1,library,chillerlan,MIT,"A container class for immutable settings objects. Not a DI container."
composer/semver,3.4.4,library,composer,MIT,"Semver library that offers utilities, version constraint parsing and validation."
danharrin/date-format-converter,v0.3.1,library,danharrin,MIT,"Convert token-based date formats between standards."
danharrin/livewire-rate-limiting,v2.1.0,library,danharrin,MIT,"Apply rate limiters to Laravel Livewire actions."
dflydev/dot-access-data,v3.0.3,library,dflydev,MIT,"Given a deep data structure, access data by dot notation."
doctrine/inflector,2.1.0,library,doctrine,MIT,"PHP Doctrine Inflector is a small library that can perform string manipulations with regard to upper/lowercase and singular/plural forms of words."
doctrine/lexer,3.0.1,library,doctrine,MIT,"PHP Doctrine Lexer parser library that can be used in Top-Down, Recursive Descent Parsers."
dragonmantank/cron-expression,v3.6.0,library,dragonmantank,MIT,"CRON for PHP: Calculate the next or previous run date and determine if a CRON expression is due"
egulias/email-validator,4.0.4,library,egulias,MIT,"A library for validating emails against several RFCs"
filament/actions,v4.2.4,library,filament,MIT,"Easily add beautiful action modals to any Livewire component."
filament/filament,v4.2.4,library,filament,MIT,"A collection of full-stack components for accelerated Laravel app development."
filament/forms,v4.2.4,library,filament,MIT,"Easily add beautiful forms to any Livewire component."
filament/infolists,v4.2.4,library,filament,MIT,"Easily add beautiful read-only infolists to any Livewire component."
filament/notifications,v4.2.4,library,filament,MIT,"Easily add beautiful notifications to any Livewire app."
filament/query-builder,v4.2.4,library,filament,MIT,"A powerful query builder component for Filament."
filament/schemas,v4.2.4,library,filament,MIT,"Easily add beautiful UI to any Livewire component."
filament/support,v4.2.4,library,filament,MIT,"Core helper methods and foundation code for all Filament packages."
filament/tables,v4.2.4,library,filament,MIT,"Easily add beautiful tables to any Livewire component."
filament/widgets,v4.2.4,library,filament,MIT,"Easily add beautiful dashboard widgets to any Livewire component."
fruitcake/php-cors,v1.3.0,library,fruitcake,MIT,"Cross-origin resource sharing library for the Symfony HttpFoundation"
graham-campbell/result-type,v1.1.3,library,graham-campbell,MIT,"An Implementation Of The Result Type"
guzzlehttp/guzzle,7.10.0,library,guzzlehttp,MIT,"Guzzle is a PHP HTTP client library"
guzzlehttp/promises,2.3.0,library,guzzlehttp,MIT,"Guzzle promises library"
guzzlehttp/psr7,2.8.0,library,guzzlehttp,MIT,"PSR-7 message implementation that also provides common utility methods"
guzzlehttp/uri-template,v1.0.5,library,guzzlehttp,MIT,"A polyfill class for uri_template of PHP"
inertiajs/inertia-laravel,v2.0.11,library,inertiajs,MIT,"The Laravel adapter for Inertia.js."
jantinnerezo/livewire-alert,v4.0.7,library,jantinnerezo,MIT,"This package provides a simple alert utilities for your livewire components."
kirschbaum-development/eloquent-power-joins,4.2.10,library,kirschbaum-development,MIT,"The Laravel magic applied to joins."
laminas/laminas-diactoros,3.8.0,library,laminas,BSD-3-Clause,"PSR HTTP Message implementations"
laravel/framework,v12.40.2,library,laravel,MIT,"The Laravel Framework."
laravel/horizon,v5.40.1,library,laravel,MIT,"Dashboard and code-driven configuration for Laravel queues."
laravel/octane,v2.13.1,library,laravel,MIT,"Supercharge your Laravel application's performance."
laravel/prompts,v0.3.8,library,laravel,MIT,"Add beautiful and user-friendly forms to your command-line applications."
laravel/sanctum,v4.2.1,library,laravel,MIT,"Laravel Sanctum provides a featherweight authentication system for SPAs and simple APIs."
laravel/serializable-closure,v2.0.7,library,laravel,MIT,"Laravel Serializable Closure provides an easy and secure way to serialize closures in PHP."
laravel/tinker,v2.10.2,library,laravel,MIT,"Powerful REPL for the Laravel framework."
league/commonmark,2.8.0,library,league,BSD-3-Clause,"Highly-extensible PHP Markdown parser which fully supports the CommonMark spec and GitHub-Flavored Markdown (GFM)"
league/config,v1.2.0,library,league,BSD-3-Clause,"Define configuration arrays with strict schemas and access values with dot notation"
league/csv,9.27.1,library,league,MIT,"CSV data manipulation made easy in PHP"
league/flysystem,3.30.2,library,league,MIT,"File storage abstraction for PHP"
league/flysystem-local,3.30.2,library,league,MIT,"Local filesystem adapter for Flysystem."
league/mime-type-detection,1.16.0,library,league,MIT,"Mime-type detection for Flysystem"
league/uri,7.6.0,library,league,MIT,"URI manipulation library"
league/uri-components,7.6.0,library,league,MIT,"URI components manipulation library"
league/uri-interfaces,7.6.0,library,league,MIT,"Common tools for parsing and resolving RFC3987/RFC3986 URI"
livewire/livewire,v3.7.0,library,livewire,MIT,"A front-end framework for Laravel."
maennchen/zipstream-php,3.1.2,library,maennchen,MIT,"ZipStream is a library for dynamically streaming dynamic zip files from PHP without writing to the disk at all on the server."
masterminds/html5,2.10.0,library,masterminds,MIT,"An HTML5 parser and serializer."
monolog/monolog,3.9.0,library,monolog,MIT,"Sends your logs to files, sockets, inboxes, databases and various web services"
nesbot/carbon,3.10.3,library,nesbot,MIT,"An API extension for DateTime that supports 281 different languages."
nette/php-generator,v4.2.0,library,nette,"BSD-3-Clause, GPL-2.0-only, GPL-3.0-only","🐘 Nette PHP Generator: generates neat PHP code for you. Supports new PHP 8.5 features."
nette/schema,v1.3.3,library,nette,"BSD-3-Clause, GPL-2.0-only, GPL-3.0-only","📐 Nette Schema: validating data structures against a given Schema."
nette/utils,v4.1.0,library,nette,"BSD-3-Clause, GPL-2.0-only, GPL-3.0-only","🛠  Nette Utils: lightweight utilities for string & array manipulation, image handling, safe JSON encoding/decoding, validation, slug or strong password generating etc."
nikic/php-parser,v5.6.2,library,nikic,BSD-3-Clause,"A PHP parser written in PHP"
nunomaduro/termwind,v2.3.3,library,nunomaduro,MIT,"Its like Tailwind CSS, but for the console."
openspout/openspout,v4.28.5,library,openspout,MIT,"PHP Library to read and write spreadsheet files (CSV, XLSX and ODS), in a fast and scalable way"
paragonie/constant_time_encoding,v3.1.3,library,paragonie,MIT,"Constant-time Implementations of RFC 4648 Encoding (Base-64, Base-32, Base-16)"
phpoption/phpoption,1.9.4,library,phpoption,Apache-2.0,"Option Type for PHP"
power-components/livewire-powergrid,v6.7.2,library,power-components,MIT,"PowerGrid generates Advanced Datatables using Laravel Livewire."
pragmarx/google2fa,v9.0.0,library,pragmarx,MIT,"A One Time Password Authentication package, compatible with Google Authenticator."
pragmarx/google2fa-qrcode,v3.0.0,library,pragmarx,MIT,"QR Code package for Google2FA"
psr/clock,1.0.0,library,psr,MIT,"Common interface for reading the clock."
psr/container,2.0.2,library,psr,MIT,"Common Container Interface (PHP FIG PSR-11)"
psr/event-dispatcher,1.0.0,library,psr,MIT,"Standard interfaces for event handling."
psr/http-client,1.0.3,library,psr,MIT,"Common interface for HTTP clients"
psr/http-factory,1.1.0,library,psr,MIT,"PSR-17: Common interfaces for PSR-7 HTTP message factories"
psr/http-message,2.0,library,psr,MIT,"Common interface for HTTP messages"
psr/log,3.0.2,library,psr,MIT,"Common interface for logging libraries"
psr/simple-cache,3.0.0,library,psr,MIT,"Common interfaces for simple caching"
psy/psysh,v0.12.15,library,psy,MIT,"An interactive shell for modern PHP."
ralouphie/getallheaders,3.0.3,library,ralouphie,MIT,"A polyfill for getallheaders."
ramsey/collection,2.1.1,library,ramsey,MIT,"A PHP library for representing and manipulating collections."
ramsey/uuid,4.9.1,library,ramsey,MIT,"A PHP library for generating and working with universally unique identifiers (UUIDs)."
rappasoft/laravel-livewire-tables,v3.7.3,library,rappasoft,MIT,"A dynamic table component for Laravel Livewire"
ryangjchandler/blade-capture-directive,v1.1.0,library,ryangjchandler,MIT,"Create inline partials in your Blade templates with ease."
scrivo/highlight.php,v9.18.1.10,library,scrivo,BSD-3-Clause,"Server side syntax highlighter that supports 185 languages. It's a PHP port of highlight.js"
spatie/db-dumper,3.8.1,library,spatie,MIT,"Dump databases"
spatie/image,3.8.7,library,spatie,MIT,"Manipulate images with an expressive API"
spatie/image-optimizer,1.8.1,library,spatie,MIT,"Easily optimize images using PHP"
spatie/invade,2.1.0,library,spatie,MIT,"A PHP function to work with private properties and methods"
spatie/laravel-activitylog,4.10.2,library,spatie,MIT,"A very simple activity logger to monitor the users of your website or application"
spatie/laravel-backup,9.3.6,library,spatie,MIT,"A Laravel package to backup your application"
spatie/laravel-medialibrary,11.17.5,library,spatie,MIT,"Associate files with Eloquent models"
spatie/laravel-package-tools,1.92.7,library,spatie,MIT,"Tools for creating Laravel packages"
spatie/laravel-permission,6.23.0,library,spatie,MIT,"Permission handling for Laravel 8.0 and up"
spatie/laravel-query-builder,6.3.6,library,spatie,MIT,"Easily build Eloquent queries from API requests"
spatie/laravel-signal-aware-command,2.1.1,library,spatie,MIT,"Handle signals in artisan commands"
spatie/shiki-php,2.3.2,library,spatie,MIT,"Highlight code using Shiki in PHP"
spatie/temporary-directory,2.3.0,library,spatie,MIT,"Easily create, use and destroy temporary directories"
symfony/clock,v7.4.0,library,symfony,MIT,"Decouples applications from the system clock"
symfony/console,v7.4.0,library,symfony,MIT,"Eases the creation of beautiful and testable command line interfaces"
symfony/css-selector,v7.4.0,library,symfony,MIT,"Converts CSS selectors to XPath expressions"
symfony/deprecation-contracts,v3.6.0,library,symfony,MIT,"A generic function and convention to trigger deprecation notices"
symfony/error-handler,v7.4.0,library,symfony,MIT,"Provides tools to manage errors and ease debugging PHP code"
symfony/event-dispatcher,v7.4.0,library,symfony,MIT,"Provides tools that allow your application components to communicate with each other by dispatching events and listening to them"
symfony/event-dispatcher-contracts,v3.6.0,library,symfony,MIT,"Generic abstractions related to dispatching event"
symfony/finder,v7.4.0,library,symfony,MIT,"Finds files and directories via an intuitive fluent interface"
symfony/html-sanitizer,v7.4.0,library,symfony,MIT,"Provides an object-oriented API to sanitize untrusted HTML input for safe insertion into a document's DOM."
symfony/http-foundation,v7.4.0,library,symfony,MIT,"Defines an object-oriented layer for the HTTP specification"
symfony/http-kernel,v7.4.0,library,symfony,MIT,"Provides a structured process for converting a Request into a Response"
symfony/mailer,v7.4.0,library,symfony,MIT,"Helps sending emails"
symfony/mime,v7.4.0,library,symfony,MIT,"Allows manipulating MIME messages"
symfony/polyfill-ctype,v1.33.0,library,symfony,MIT,"Symfony polyfill for ctype functions"
symfony/polyfill-intl-grapheme,v1.33.0,library,symfony,MIT,"Symfony polyfill for intl's grapheme_* functions"
symfony/polyfill-intl-idn,v1.33.0,library,symfony,MIT,"Symfony polyfill for intl's idn_to_ascii and idn_to_utf8 functions"
symfony/polyfill-intl-normalizer,v1.33.0,library,symfony,MIT,"Symfony polyfill for intl's Normalizer class and related functions"
symfony/polyfill-mbstring,v1.33.0,library,symfony,MIT,"Symfony polyfill for the Mbstring extension"
symfony/polyfill-php80,v1.33.0,library,symfony,MIT,"Symfony polyfill backporting some PHP 8.0+ features to lower PHP versions"
symfony/polyfill-php83,v1.33.0,library,symfony,MIT,"Symfony polyfill backporting some PHP 8.3+ features to lower PHP versions"
symfony/polyfill-php84,v1.33.0,library,symfony,MIT,"Symfony polyfill backporting some PHP 8.4+ features to lower PHP versions"
symfony/polyfill-php85,v1.33.0,library,symfony,MIT,"Symfony polyfill backporting some PHP 8.5+ features to lower PHP versions"
symfony/polyfill-uuid,v1.33.0,library,symfony,MIT,"Symfony polyfill for uuid functions"
symfony/process,v7.4.0,library,symfony,MIT,"Executes commands in sub-processes"
symfony/psr-http-message-bridge,v7.4.0,symfony-bridge,symfony,MIT,"PSR HTTP message bridge"
symfony/routing,v7.4.0,library,symfony,MIT,"Maps an HTTP request to a set of configuration variables"
symfony/service-contracts,v3.6.1,library,symfony,MIT,"Generic abstractions related to writing services"
symfony/string,v7.4.0,library,symfony,MIT,"Provides an object-oriented API to strings and deals with bytes, UTF-8 code points and grapheme clusters in a unified way"
symfony/translation,v7.4.0,library,symfony,MIT,"Provides tools to internationalize your application"
symfony/translation-contracts,v3.6.1,library,symfony,MIT,"Generic abstractions related to translation"
symfony/uid,v7.4.0,library,symfony,MIT,"Provides an object-oriented API to generate and represent UIDs"
symfony/var-dumper,v7.4.0,library,symfony,MIT,"Provides mechanisms for walking through any arbitrary PHP variable"
tijsverkoyen/css-to-inline-styles,v2.3.0,library,tijsverkoyen,BSD-3-Clause,"CssToInlineStyles is a class that enables you to convert HTML-pages/files into HTML-pages/files with inline styles. This is very useful when you're sending emails."
ueberdosis/tiptap-php,2.0.0,library,ueberdosis,MIT,"A PHP package to work with Tiptap output"
vlucas/phpdotenv,v5.6.2,library,vlucas,BSD-3-Clause,"Loads environment variables from `.env` to `getenv()`, `$_ENV` and `$_SERVER` automagically."
voku/portable-ascii,2.0.3,library,voku,MIT,"Portable ASCII library - performance optimized (ascii) string functions for php."
wireui/heroicons,v2.9.0,library,wireui,MIT,"The Tailwind Heroicons for laravel blade by WireUI"
wireui/wireui,v2.5.1,library,wireui,MIT,"TallStack components"
